"","year","month","day","global_rad.MJ.m2.","cloud_cov...","air_temp.C.","rel_hum...","air_press.hPa.","wind_sp.m.s.","rain","date","doy","doy_start","buoy_start","buoy_end","category","period"
"1",2015,9,21,18.293,0.415,11.47,75.48,991.92,1.595,0,2015-09-21,"264",264,134,309,"buoy","lf"
"2",2015,9,22,17.064,0.223,12.94,73.5,992.35,1.704,0,2015-09-22,"265",264,134,309,"buoy","lf"
"3",2015,9,23,14.602,0.118,14.61,77.83,991.41,2.489,0.016,2015-09-23,"266",264,134,309,"buoy","lf"
"4",2015,9,24,18.365,0.229,12.2,62.49,997.01,2.729,0,2015-09-24,"267",264,134,309,"buoy","lf"
"5",2015,9,25,12.02,0.49,9.18,69.94,998.3,1.738,0.29,2015-09-25,"268",264,134,309,"buoy","lf"
"6",2015,9,26,18.096,0.018,8.29,68.96,999.52,1.879,0,2015-09-26,"269",264,134,309,"buoy","lf"
"7",2015,9,27,17.018,0.068,12.4,76.38,993.26,2.707,0,2015-09-27,"270",264,134,309,"buoy","lf"
"8",2015,9,28,9.125,0.736,16.16,85.85,985.85,3.915,1.075,2015-09-28,"271",264,134,309,"buoy","lf"
"9",2015,9,29,4.45,0.998,16.54,94.92,981.81,3.537,14.282,2015-09-29,"272",264,134,309,"buoy","lf"
"10",2015,9,30,5.437,0.963,8.97,67.23,987.06,5.077,0.574,2015-09-30,"273",264,134,309,"buoy","lf"
"11",2015,10,1,17.124,0.336,6.58,58.62,994.9,4.418,0,2015-10-01,"274",264,134,309,"buoy","lf"
"12",2015,10,2,15.178,0.271,5.55,56.18,999.59,4.771,0,2015-10-02,"275",264,134,309,"buoy","lf"
"13",2015,10,3,16.13,0.435,6,64.4,1001.85,4.752,0,2015-10-03,"276",264,134,309,"buoy","lf"
"14",2015,10,4,15.256,0.864,6.95,62.44,997.32,2.954,0,2015-10-04,"277",264,134,309,"buoy","lf"
"15",2015,10,5,3.616,0.924,9.15,71.55,989.91,1.1,0.003,2015-10-05,"278",264,134,309,"buoy","lf"
"16",2015,10,6,13.187,0.634,10.37,79.47,983.87,2.071,0.019,2015-10-06,"279",264,134,309,"buoy","lf"
"17",2015,10,7,10.418,0.499,10.82,73.56,981.25,3.4,0.138,2015-10-07,"280",264,134,309,"buoy","lf"
"18",2015,10,8,12.027,0.607,5.31,71.87,987.57,1.746,0,2015-10-08,"281",264,134,309,"buoy","lf"
"19",2015,10,9,1.753,0.83,4.17,92.59,978.49,3.363,7.348,2015-10-09,"282",264,134,309,"buoy","lf"
"20",2015,10,10,14.676,0.685,4.41,68.57,983.79,3.398,0.002,2015-10-10,"283",264,134,309,"buoy","lf"
"21",2015,10,11,7.589,0.848,10.88,80.09,973.83,4.244,0.226,2015-10-11,"284",264,134,309,"buoy","lf"
"22",2015,10,12,13.774,0.146,14.74,75.76,971.53,3.064,0.002,2015-10-12,"285",264,134,309,"buoy","lf"
"23",2015,10,13,5.933,0.811,11.7,89.12,963.89,3.179,4.381,2015-10-13,"286",264,134,309,"buoy","lf"
"24",2015,10,14,7.798,0.828,6.96,74.68,969.88,4.653,0.102,2015-10-14,"287",264,134,309,"buoy","lf"
"25",2015,10,15,8.599,0.772,5.16,90.04,975.04,3.124,10.097,2015-10-15,"288",264,134,309,"buoy","lf"
"26",2015,10,16,8.163,0.791,5.5,81.31,977.09,2.642,1.077,2015-10-16,"289",264,134,309,"buoy","lf"
"27",2015,10,17,12.113,0.503,0.75,74.31,983.22,3.296,3.692,2015-10-17,"290",264,134,309,"buoy","lf"
