year	month	day	airP_hPa	1.7m	4m	5m	6m	7m	8m	9m	10m	11m	11.4m
   2015	      5	     14	981.892	14.4445	 5.8486	 5.0986	 4.7536	 4.5550	 4.4790	 4.4513	 4.4638	 4.5037	 4.5691
   2015	      5	     15	979.743	14.7132	 5.8016	 5.0821	 4.7416	 4.5512	 4.4789	 4.4648	 4.4696	 4.5164	 4.5333
   2015	      5	     16	975.439	14.9845	 5.8466	 5.1188	 4.7616	 4.5607	 4.4828	 4.4699	 4.4750	 4.5221	 4.5354
   2015	      5	     17	     NA	15.1926	 5.9586	 5.1580	 4.7804	 4.5762	 4.4963	 4.4668	 4.4800	 4.5238	 4.5377
   2015	      5	     18	974.520	15.9285	 6.0790	 5.2084	 4.8160	 4.5995	 4.5217	 4.4902	 4.4865	 4.5276	 4.5401
   2015	      5	     19	964.885	16.6351	 6.2311	 5.2738	 4.8613	 4.6404	 4.5357	 4.4973	 4.4930	 4.5294	 4.5425
   2015	      5	     20	966.913	16.4364	 6.3858	 5.3267	 4.8963	 4.6610	 4.5488	 4.5092	 4.5031	 4.5347	 4.5432
   2015	      5	     21	966.452	16.4264	 6.4163	 5.3568	 4.9272	 4.6714	 4.5698	 4.5139	 4.5067	 4.5423	 4.5474
   2015	      5	     22	970.240	16.1530	 6.5539	 5.4433	 4.9696	 4.7042	 4.5762	 4.5249	 4.5150	 4.5458	 4.5504
   2015	      5	     23	978.932	15.0629	 6.6891	 5.4918	 5.0073	 4.7264	 4.6103	 4.5326	 4.5204	 4.5503	 4.5536
   2015	      5	     24	975.082	15.1811	 6.7974	 5.5449	 5.0509	 4.7520	 4.6058	 4.5513	 4.5273	 4.5554	 4.5568
   2015	      5	     25	975.764	15.8317	 6.8518	 5.5885	 5.0723	 4.7709	 4.6320	 4.5632	 4.5362	 4.5605	 4.5602
   2015	      5	     26	972.503	16.2300	 6.9624	 5.6371	 5.0851	 4.7847	 4.6475	 4.5737	 4.5417	 4.5635	 4.5643
   2015	      5	     27	971.831	16.8056	 7.0428	 5.6609	 5.0947	 4.7995	 4.6579	 4.5797	 4.5470	 4.5669	 4.5684
   2015	      5	     28	975.588	17.0806	 7.1287	 5.7140	 5.1200	 4.8107	 4.6685	 4.5930	 4.5518	 4.5720	 4.5723
   2015	      5	     29	981.126	17.7974	 7.2108	 5.7736	 5.1550	 4.8253	 4.6839	 4.6004	 4.5571	 4.5762	 4.5767
   2015	      5	     30	971.245	18.7636	 7.3388	 5.8116	 5.1893	 4.8493	 4.7026	 4.6014	 4.5664	 4.5805	 4.5812
   2015	      5	     31	980.375	18.2129	 7.4205	 5.8395	 5.2033	 4.8723	 4.7130	 4.6136	 4.5794	 4.5863	 4.5856
   2015	      6	      1	982.206	17.8513	 7.5392	 5.8851	 5.2395	 4.8995	 4.7265	 4.6294	 4.5818	 4.5915	 4.5911
   2015	      6	      2	980.235	17.1270	 7.5865	 5.9196	 5.2546	 4.9083	 4.7371	 4.6306	 4.5847	 4.5982	 4.5961
   2015	      6	      3	981.057	16.6787	 7.7103	 5.9742	 5.2764	 4.9165	 4.7427	 4.6335	 4.5873	 4.6024	 4.6009
   2015	      6	      4	979.340	17.2651	 7.8827	 6.0855	 5.3340	 4.9530	 4.7608	 4.6539	 4.5973	 4.6068	 4.6049
   2015	      6	      5	972.883	17.8130	 7.9568	 6.1206	 5.3514	 4.9749	 4.7710	 4.6701	 4.6052	 4.6115	 4.6095
   2015	      6	      6	976.538	17.3851	 8.1100	 6.1655	 5.3788	 4.9950	 4.7987	 4.6738	 4.6115	 4.6166	 4.6151
   2015	      6	      7	975.186	17.8858	 8.2341	 6.2387	 5.4066	 5.0113	 4.8128	 4.6877	 4.6196	 4.6222	 4.6208
   2015	      6	      8	     NA	17.7377	 8.4293	 6.2854	 5.4512	 5.0284	 4.8318	 4.6973	 4.6219	 4.6265	 4.6253
   2015	      6	      9	961.038	17.5471	 8.5349	 6.3755	 5.4879	 5.0538	 4.8550	 4.7112	 4.6304	 4.6296	 4.6284
   2015	      6	     10	963.656	18.1051	 8.6906	 6.4377	 5.5259	 5.0772	 4.8648	 4.7167	 4.6352	 4.6322	 4.6317
