year	month	day	airP_hPa	0.5A_m	0.5B_m	1m	4m	4.5m	5.5m	6.5m	7.5m	8.5m	10.5m
2016	 5	10	977.000	10.7825	10.6721	10.4207	 6.1382	 5.3215	 4.9776	 4.8004	 4.7016	4.6475	4.6248
2016	 5	11	979.222	10.8976	10.8714	10.7650	 6.2921	 5.3426	 4.9758	 4.8019	 4.7060	4.6560	4.6298
2016	 5	12	977.042	13.1697	13.1335	12.9944	 6.5941	 5.4554	 5.0400	 4.8516	 4.7350	4.6740	4.6361
2016	 5	13	965.368	14.6399	14.5543	14.2290	 6.6824	 5.4957	 5.0511	 4.8694	 4.7510	4.6887	4.6466
2016	 5	14	961.111	14.4143	14.4180	14.3394	 6.8171	 5.5726	 5.0899	 4.8844	 4.7589	4.6907	4.6507
2016	 5	15	957.257	13.6296	13.6541	13.6354	 6.9353	 5.6820	 5.1563	 4.9341	 4.8001	4.7156	4.6705
2016	 5	16	964.729	10.5299	10.5638	10.5724	 7.1442	 5.7371	 5.1672	 4.9568	 4.8202	4.7305	4.6811
2016	 5	17	974.299	 9.4499	 9.4812	 9.4814	 8.4403	 5.7832	 5.2123	 4.9856	 4.8267	4.7360	4.6857
2016	 5	18	977.924	10.0352	 9.9361	 9.8098	 8.9339	 5.8494	 5.2339	 4.9947	 4.8301	4.7402	4.6945
2016	 5	19	976.681	11.2285	10.9870	10.6482	 8.7988	 6.0482	 5.2935	 5.0330	 4.8492	4.7547	4.7024
2016	 5	20	978.354	12.2962	12.1526	11.9565	 8.7759	 6.1957	 5.3220	 5.0475	 4.8648	4.7665	4.7090
2016	 5	21	974.333	14.7958	14.6422	14.2731	 8.7223	 6.2699	 5.3544	 5.0922	 4.8974	4.7883	4.7210
2016	 5	22	969.785	15.5674	15.4911	15.2631	 8.7703	 6.4582	 5.4204	 5.1243	 4.9418	4.8275	4.7321
2016	 5	23	972.049	17.0677	16.9796	16.7999	 8.8706	 6.5327	 5.4465	 5.1398	 4.9529	4.8338	4.7427
2016	 5	24	970.590	18.7201	18.5222	18.2315	 8.9256	 6.6363	 5.5252	 5.1835	 4.9745	4.8606	4.7533
2016	 5	25	970.583	19.1194	18.9919	18.5697	 9.0274	 6.7492	 5.5657	 5.1957	 4.9877	4.8660	4.7657
2016	 5	26	976.833	18.5382	18.5238	18.4695	 9.0823	 6.8126	 5.6147	 5.2158	 5.0003	4.8864	4.7755
2016	 5	27	972.451	19.6301	19.6169	19.4207	 9.1639	 6.9109	 5.6666	 5.2443	 5.0191	4.8933	4.7830
2016	 5	28	975.861	21.0701	21.0113	20.8820	 9.2645	 7.0442	 5.7254	 5.2876	 5.0439	4.9127	4.7936
2016	 5	29	976.465	21.3692	21.2532	21.0260	 9.3097	 7.0858	 5.7714	 5.3067	 5.0573	4.9264	4.7944
2016	 5	30	968.597	22.4301	22.4097	22.3228	 9.4413	 7.1740	 5.8037	 5.3359	 5.0829	4.9361	4.8083
2016	 5	31	968.625	22.1961	22.2070	22.1433	 9.5137	 7.2790	 5.8715	 5.3682	 5.1078	4.9501	4.8157
2016	 6	 1	978.062	21.0920	21.0938	21.0453	 9.6125	 7.3254	 5.9233	 5.3862	 5.1138	4.9599	4.8203
2016	 6	 2	974.618	20.6652	20.6972	20.6458	 9.7140	 7.4316	 5.9720	 5.4260	 5.1423	4.9753	4.8308
2016	 6	 3	971.701	20.3295	20.2978	20.2181	 9.7559	 7.4783	 5.9877	 5.4357	 5.1481	4.9969	4.8361
2016	 6	 4	973.861	20.9988	20.9844	20.9107	 9.9065	 7.5973	 6.0669	 5.4658	 5.1657	5.0111	4.8422
2016	 6	 5	966.389	20.5350	20.5724	20.5723	 9.9938	 7.6513	 6.0977	 5.4907	 5.1811	5.0197	4.8475
2016	 6	 6	955.424	19.4022	19.4374	19.4350	10.0933	 7.7550	 6.1375	 5.5303	 5.2239	5.0238	4.8591
2016	 6	 7	955.632	19.4101	19.4383	19.4260	10.1983	 7.8161	 6.1760	 5.5441	 5.2217	5.0387	4.8677
2016	 6	 8	956.847	18.5801	18.6165	18.6192	10.2853	 7.9027	 6.2204	 5.5767	 5.2489	5.0591	4.8752
2016	 6	 9	962.479	16.5079	16.5444	16.5481	10.3287	 7.9323	 6.2569	 5.5906	 5.2550	5.0594	4.8922
2016	 6	10	970.715	15.6656	15.6433	15.5872	10.4724	 8.0031	 6.3046	 5.6349	 5.2917	5.0846	4.8903
2016	 6	11	968.632	16.4247	16.4485	16.4262	10.6199	 8.0450	 6.3563	 5.6638	 5.3149	5.1172	4.9110
2016	 6	12	960.382	15.7627	15.7954	15.7947	10.7668	 8.0954	 6.3984	 5.6872	 5.3225	5.1213	4.9121
2016	 6	13	966.979	15.1630	15.1181	15.0617	11.2556	 8.1698	 6.4382	 5.7071	 5.3435	5.1458	4.9212
2016	 6	14	969.361	15.6815	15.6656	15.6111	11.5953	 8.2702	 6.4755	 5.7382	 5.3833	5.1792	4.9429
2016	 6	15	970.410	17.2517	17.2178	17.1388	11.8521	 8.3846	 6.5718	 5.7932	 5.4113	5.1944	4.9507
2016	 6	16	969.076	18.7572	18.7114	18.6423	12.0474	 8.4521	 6.6053	 5.8104	 5.4232	5.2118	4.9717
2016	 6	17	971.861	20.1408	19.9789	19.7448	12.1797	 8.6021	 6.6690	 5.8579	 5.4454	5.2294	4.9727
2016	 6	18	978.312	21.5151	21.4342	21.1922	12.3367	 8.7106	 6.7591	 5.9057	 5.4714	5.2364	4.9850
2016	 6	19	978.701	22.7312	22.7367	22.6537	12.5372	 8.8308	 6.8104	 5.9469	 5.5150	5.2815	5.0105
2016	 6	20	972.611	23.6840	23.7111	23.6976	12.6672	 8.9468	 6.8514	 5.9695	 5.5285	5.2963	5.0292
2016	 6	21	963.819	23.0975	23.1367	23.1203	12.7627	 9.0753	 6.9243	 6.0325	 5.5798	5.3317	5.0579
2016	 6	22	965.438	21.8355	21.8802	21.8460	12.8014	 9.1617	 6.9866	 6.0605	 5.5922	5.3506	5.0617
2016	 6	23	968.910	21.2820	21.3017	21.2568	12.9297	 9.2077	 7.0137	 6.0747	 5.6090	5.3524	5.0723
2016	 6	24	974.590	21.4151	21.3625	21.2498	13.0717	 9.3321	 7.0815	 6.1157	 5.6342	5.3647	5.0809
2016	 6	25	978.062	22.5290	22.5294	22.4156	13.2135	 9.4539	 7.1418	 6.1498	 5.6581	5.3768	5.0804
2016	 6	26	977.083	23.4690	23.5026	23.4482	13.3723	 9.5601	 7.1959	 6.1831	 5.6779	5.3981	5.0871
2016	 6	27	970.021	23.7503	23.7861	23.7719	13.5224	 9.6853	 7.2403	 6.2253	 5.7013	5.3982	5.1091
2016	 6	28	969.236	23.4040	23.4097	23.3256	13.6280	 9.8054	 7.3395	 6.2453	 5.7325	5.4431	5.1222
2016	 6	29	969.632	23.0229	23.0501	23.0024	13.7890	 9.9112	 7.3840	 6.2797	 5.7498	5.4719	5.1468
2016	 6	30	971.667	22.5844	22.5672	22.5019	13.9939	10.0563	 7.4434	 6.3183	 5.7613	5.4787	5.1420
2016	 7	 1	970.944	23.2306	23.2661	23.2319	14.1243	10.1655	 7.5250	 6.3618	 5.7951	5.4987	5.1525
2016	 7	 2	966.368	22.4626	22.5053	22.5045	14.4148	10.3687	 7.6104	 6.4096	 5.8345	5.5202	5.1693
2016	 7	 3	971.722	21.4698	21.4922	21.4671	14.5066	10.4219	 7.6817	 6.4457	 5.8378	5.5294	5.1561
2016	 7	 4	971.188	22.0700	22.0590	22.0043	14.6394	10.5419	 7.7354	 6.4820	 5.8692	5.5523	5.1739
2016	 7	 5	966.729	23.1984	23.2084	23.1320	14.7748	10.6379	 7.7991	 6.5180	 5.8757	5.5649	5.1819
2016	 7	 6	967.303	24.3105	24.2178	24.0305	15.0018	10.8391	 7.8582	 6.5409	 5.8988	5.5756	5.1957
2016	 7	 7	967.784	23.6722	23.7194	23.6418	15.0959	10.8865	 7.8666	 6.5762	 5.9303	5.6238	5.2110
2016	 7	 8	970.097	22.8301	22.8678	22.8563	15.1820	10.8748	 7.9330	 6.5971	 5.9274	5.6046	5.2120
2016	 7	 9	968.062	21.8705	21.9076	21.9118	15.3015	10.9847	 7.9886	 6.6254	 5.9367	5.6056	5.2151
2016	 7	10	969.625	20.6406	20.6797	20.6672	15.4976	11.1112	 8.0581	 6.6571	 5.9512	5.6051	5.2161
2016	 7	11	975.979	20.9528	20.8669	20.7561	15.6415	11.1857	 8.1049	 6.6913	 5.9703	5.6147	5.2232
2016	 7	12	975.375	22.5899	22.4694	22.2758	15.8972	11.3374	 8.2030	 6.7554	 6.0161	5.6480	5.2551
2016	 7	13	971.326	23.6290	23.6467	23.5014	16.1021	11.4385	 8.2383	 6.7750	 6.0314	5.6643	5.2816
2016	 7	14	965.785	24.2685	24.3013	24.2913	16.2635	11.5620	 8.2982	 6.8169	 6.0485	5.6816	5.3016
2016	 7	15	965.083	24.1208	24.1478	24.1333	16.3796	11.6315	 8.3650	 6.8476	 6.0852	5.7103	5.3176
2016	 7	16	973.139	23.7510	23.7758	23.7469	16.6549	11.8268	 8.4655	 6.9347	 6.1667	5.7794	5.3422
2016	 7	17	976.917	23.7272	23.7222	23.6858	16.7264	11.9121	 8.5006	 6.9472	 6.1560	5.7857	5.3471
2016	 7	18	970.542	23.9222	23.9533	23.9387	16.8778	12.0479	 8.6040	 6.9915	 6.1804	5.7938	5.3534
2016	 7	19	975.410	22.9872	23.0245	23.0165	16.9601	12.1182	 8.6188	 7.0302	 6.2132	5.8217	5.3759
2016	 7	20	978.583	22.5482	22.5342	22.4927	17.0799	12.2027	 8.7158	 7.0585	 6.2154	5.8205	5.3798
2016	 7	21	974.896	23.0474	23.0683	23.0489	17.2192	12.3335	 8.7917	 7.1108	 6.2396	5.8214	5.3923
2016	 7	22	965.319	23.6769	23.6651	23.6133	17.3808	12.4766	 8.8560	 7.1374	 6.2657	5.8448	5.4164
2016	 7	23	967.028	24.0560	24.0740	24.0427	17.4696	12.5444	 8.9249	 7.1876	 6.2879	5.8753	5.4212
2016	 7	24	973.223	23.9351	23.9224	23.8624	17.6165	12.5978	 8.9789	 7.2253	 6.3093	5.8830	5.4423
2016	 7	25	969.861	23.7065	23.7501	23.7157	17.6794	12.7265	 9.0447	 7.2578	 6.3012	5.8887	5.4497
2016	 7	26	967.312	23.2124	23.1769	23.1333	17.8710	12.8943	 9.1072	 7.3101	 6.3264	5.8944	5.4391
2016	 7	27	970.410	23.7413	23.7589	23.7233	17.9930	13.0169	 9.2010	 7.3538	 6.3498	5.8946	5.4528
2016	 7	28	970.715	24.1576	24.1128	24.0435	18.1185	13.1369	 9.2256	 7.3793	 6.3694	5.9203	5.4702
2016	 7	29	972.521	24.0625	24.0865	24.0517	18.2420	13.1999	 9.3140	 7.4332	 6.3927	5.9259	5.4788
2016	 7	30	976.027	23.8552	23.8680	23.8081	18.3887	13.3350	 9.3469	 7.4513	 6.3890	5.9384	5.4812
2016	 7	31	977.906	24.3805	24.3185	24.2026	18.6349	13.4169	 9.4377	 7.4971	 6.4123	5.9419	5.4856
2016	 8	 1	977.903	24.1885	24.2108	24.1725	18.6265	13.5615	 9.5118	 7.5556	 6.4586	5.9624	5.4850
2016	 8	 2	979.069	24.4312	24.4273	24.3477	18.8340	13.6250	 9.5715	 7.5873	 6.4731	5.9666	5.5005
2016	 8	 3	978.060	24.9780	24.9445	24.8580	19.0850	13.7919	 9.6851	 7.6497	 6.5156	5.9878	5.4845
2016	 8	 4	975.500	25.2867	25.3008	25.2843	19.1707	13.9395	 9.7417	 7.6777	 6.5314	5.9897	5.5143
2016	 8	 5	969.500	25.7987	25.8435	25.8248	19.4020	14.0335	 9.8137	 7.7307	 6.5448	5.9940	5.5244
2016	 8	 6	963.299	25.4983	25.5342	25.5285	19.5410	14.1408	 9.8995	 7.7894	 6.5815	6.0209	5.5399
2016	 8	 7	968.414	24.6731	24.7138	24.6969	19.7418	14.2709	 9.9638	 7.8241	 6.6034	6.0431	5.5506
2016	 8	 8	974.635	24.0103	24.0358	24.0046	19.8573	14.3347	10.0588	 7.8668	 6.6149	6.0285	5.5631
2016	 8	 9	979.078	23.8684	23.9005	23.8860	20.2394	14.4347	10.0899	 7.9026	 6.6435	6.0457	5.5552
2016	 8	10	975.570	24.5985	24.5859	24.5039	20.4235	14.5997	10.1533	 7.9407	 6.6683	6.0588	5.5522
2016	 8	11	974.312	25.3234	25.2854	25.1249	20.6176	14.7112	10.2489	 7.9830	 6.6985	6.0836	5.5769
2016	 8	12	969.891	25.7665	25.7978	25.7904	20.8196	14.8273	10.3013	 8.0098	 6.7496	6.1048	5.5945
2016	 8	13	969.952	23.5668	23.6281	23.6144	20.7440	14.9550	10.3835	 8.0670	 6.7388	6.1086	5.5946
2016	 8	14	967.903	23.0417	23.0893	23.0831	21.0450	15.1621	10.5287	 8.1768	 6.7725	6.1175	5.5964
2016	 8	15	977.535	23.1515	23.1339	23.0774	21.2783	15.3288	10.6098	 8.2187	 6.7981	6.1337	5.5930
2016	 8	16	978.306	23.3147	23.3649	23.3476	21.3660	15.4203	10.7017	 8.2931	 6.8364	6.1457	5.6113
2016	 8	17	971.021	22.2906	22.3219	22.3194	21.3508	15.8504	10.9385	 8.3886	 6.9031	6.1988	5.6330
2016	 9	 2	980.000	22.1581	22.1915	22.1435	21.4477	17.3665	12.1281	 9.0158	 7.2830	6.3963	5.7428
2016	 9	 3	981.632	21.8801	21.8680	21.8124	21.2262	17.6288	12.0731	 9.0651	 7.2822	6.3814	5.7445
2016	 9	 4	982.569	22.0628	22.0390	22.0071	21.1356	17.7319	12.1419	 9.1158	 7.2920	6.3933	5.7393
2016	 9	 5	981.639	22.1892	22.1668	22.0633	21.1457	17.8365	12.1814	 9.1506	 7.3197	6.3997	5.7501
2016	 9	 6	977.993	22.4085	22.3869	22.3341	21.2081	17.9017	12.2783	 9.1909	 7.3229	6.4082	5.7582
2016	 9	 7	975.111	22.8436	22.8396	22.7137	21.2601	17.9480	12.3691	 9.2530	 7.3610	6.4235	5.7710
2016	 9	 8	968.826	23.1785	23.1954	23.1242	21.2667	18.0341	12.4121	 9.2703	 7.3664	6.4286	5.7714
2016	 9	 9	967.646	22.6907	22.6692	22.6347	21.2825	18.1124	12.4779	 9.3493	 7.3975	6.4286	5.7740
2016	 9	10	972.722	22.5393	22.5925	22.5822	21.3297	18.0938	12.5427	 9.3898	 7.4138	6.4406	5.7820
2016	 9	11	967.514	21.8883	21.9363	21.9372	21.3577	18.1619	12.6362	 9.4062	 7.4802	6.4624	5.8036
2016	 9	12	978.229	21.0069	21.0456	21.0437	20.7344	18.2693	12.6219	 9.4506	 7.4664	6.4701	5.7976
2016	 9	13	975.688	20.8938	20.9343	20.9330	20.4567	18.5394	12.6555	 9.4994	 7.4776	6.4717	5.8122
2016	 9	14	973.569	20.7987	20.8411	20.8383	20.3573	18.6458	12.7260	 9.5319	 7.4695	6.4832	5.8287
2016	 9	15	982.833	20.0760	20.0998	20.0964	19.7537	18.8745	12.7600	 9.5499	 7.4967	6.4942	5.8147
2016	 9	16	982.014	19.7980	19.8214	19.8085	19.3228	18.8657	12.8091	 9.6004	 7.5096	6.4973	5.8098
2016	 9	17	975.715	19.4703	19.5153	19.5056	19.1620	18.7437	12.8885	 9.6269	 7.5391	6.5110	5.8206
2016	 9	18	970.285	19.7094	19.7084	19.6774	19.1169	18.7112	13.0835	 9.7675	 7.6067	6.5336	5.8286
2016	 9	19	973.903	20.2359	20.2426	20.1797	19.1721	18.6267	13.1623	 9.8174	 7.6278	6.5622	5.8267
2016	 9	20	974.882	20.5527	20.5683	20.5334	19.2479	18.5227	13.2476	 9.8722	 7.6507	6.5738	5.8648
2016	 9	21	976.701	20.0932	20.1245	20.1162	19.3517	18.4608	13.2742	 9.8835	 7.6684	6.5811	5.8647
2016	 9	22	978.736	19.6876	19.7437	19.7292	19.3982	18.3840	13.3743	 9.9265	 7.6488	6.5877	5.8875
2016	 9	23	976.299	19.1320	19.1590	19.1527	19.0285	18.4007	13.3929	 9.9673	 7.6715	6.5854	5.8688
2016	 9	24	978.424	18.5231	18.5618	18.5570	18.4585	18.3134	13.4792	 9.9794	 7.7077	6.5992	5.8779
