year	month	day	airP_hPa	0.65A_m	0.65B_m	0.73m	1.73m	2.73m	3.73m	4.58m	5.58m	6.53m	7.53m	8.53m	10.53m
2022	 5	 4	973.2200	 7.042133	 7.065133	 6.962000	 6.161200	 5.881133	 5.321667	 4.953267	 4.765000	 4.649667	4.602400	4.583667	4.589733
2022	 5	 5	976.0535	 6.870049	 6.961875	 6.884743	 6.496507	 5.967056	 5.261993	 4.909014	 4.710257	 4.633375	4.596417	4.578590	4.583063
2022	 5	 6	973.6090	 8.037625	 8.152201	 8.058521	 7.639312	 6.789236	 5.757590	 5.102188	 4.812576	 4.698764	4.637167	4.608764	4.610736
2022	 5	 7	975.3125	 9.040347	 9.102431	 9.038889	 8.396361	 7.157049	 5.910687	 5.161646	 4.856465	 4.741694	4.667660	4.633340	4.630229
2022	 5	 8	980.0986	10.001597	10.135347	10.010556	 9.020486	 7.557118	 5.954604	 5.247187	 4.921604	 4.787951	4.702840	4.658132	4.658847
2022	 5	 9	983.7646	10.697222	11.088194	10.734375	 9.628542	 7.879104	 6.166250	 5.381958	 4.993903	 4.835771	4.746375	4.695826	4.675590
2022	 5	10	986.5389	12.554167	12.806944	12.579514	10.517014	 8.089340	 6.394340	 5.529569	 5.074361	 4.878056	4.766958	4.714125	4.698194
2022	 5	11	983.9132	14.542639	14.678264	14.467778	10.937431	 8.406340	 6.490465	 5.594778	 5.125757	 4.919028	4.798243	4.736861	4.720042
2022	 5	12	982.9951	15.925694	16.316458	15.912847	11.567500	 8.689819	 6.720486	 5.746840	 5.203111	 4.967437	4.839875	4.769924	4.732181
2022	 5	13	979.0868	17.730278	17.952014	17.677569	12.250347	 8.929889	 6.859410	 5.837493	 5.269729	 5.010160	4.864285	4.785312	4.745160
2022	 5	14	973.7500	19.841806	19.911528	19.740278	12.890139	 9.183125	 7.010132	 5.957181	 5.336167	 5.057736	4.901646	4.811250	4.758181
2022	 5	15	968.1688	21.090764	21.187569	20.962569	13.410347	 9.389583	 7.143958	 6.030229	 5.395806	 5.087875	4.926125	4.826660	4.769799
2022	 5	16	961.8472	20.300764	20.372361	20.245903	13.897778	 9.569931	 7.279833	 6.112854	 5.429292	 5.114257	4.949597	4.859931	4.772931
2022	 5	17	955.4861	17.842639	17.872292	17.833403	14.185694	 9.756111	 7.380882	 6.178465	 5.469889	 5.141701	4.961722	4.864125	4.794007
2022	 5	18	968.0771	15.185208	15.311528	15.257917	14.713056	10.139097	 7.522556	 6.271542	 5.540104	 5.188854	4.996188	4.888681	4.799660
2022	 5	19	964.7174	15.174931	15.202431	15.191806	15.052083	10.439861	 7.615292	 6.328778	 5.578479	 5.236625	5.021590	4.917479	4.825875
2022	 5	20	966.8076	14.985347	15.072708	15.027431	14.884514	10.637986	 7.689944	 6.378694	 5.607535	 5.249979	5.030243	4.917972	4.828938
2022	 5	21	967.1903	16.628819	16.869167	16.765903	15.646319	11.178611	 7.888160	 6.517868	 5.683007	 5.299618	5.077069	4.943444	4.846000
2022	 5	22	971.3826	17.735278	18.218194	18.148056	15.918819	11.388403	 8.018236	 6.594069	 5.739132	 5.358431	5.117903	4.992111	4.875444
2022	 5	23	979.4351	16.972703	17.061757	17.053514	15.959459	11.525676	 8.125865	 6.664932	 5.787514	 5.390230	5.135243	5.014892	4.891473
2022	 6	 1	967.7333	18.642778	18.754444	18.755000	18.298333	13.403889	 9.457222	 7.372167	 6.207611	 5.661000	5.362500	5.199333	5.016056
2022	 6	 2	966.4528	18.140208	18.516528	18.362639	18.002778	13.582778	 9.393056	 7.437285	 6.249924	 5.683451	5.364965	5.192903	5.007861
2022	 6	 3	      NA	18.345970	19.180299	18.900896	18.126269	13.763134	 9.512537	 7.500239	 6.283866	 5.697940	5.374119	5.215642	5.019239
2022	 6	 5	969.6403	18.909776	19.029627	19.017537	18.761269	14.342612	 9.914776	 7.729030	 6.427500	 5.813843	5.475463	5.286687	5.085239
2022	 6	 6	974.1444	18.653333	19.196181	19.094931	18.512361	14.537222	 9.974236	 7.778778	 6.462104	 5.823104	5.482021	5.303917	5.091604
2022	 6	 7	      NA	18.876327	19.681429	19.674490	18.680816	14.778367	10.094184	 7.879316	 6.506102	 5.850714	5.507357	5.310092	5.098235
2022	 6	29	977.9724	21.048966	21.752759	21.756552	20.215862	17.938276	13.531034	 9.718276	 7.519621	 6.528586	5.975862	5.694069	5.397552
