-999 45.99 -74.01
year month day global_rad(MJ/m2) cloud_cov(-) air_temp(C) rel_hum(%) air_press(hPa) wind_sp(m/s) precip(mm/day) inflow(m3/day) inflow_T(C) inflow_C(-) inflow_S(kg/m3) inflow_TP(mg/m3) inflow_DOP(mg/m3) inflow_chla(mg/m3) inflow_DOC(mg/m3) 
2015  1  1  3.924 0.841  -7.62  74.09  972.20  5.593  1.340    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1  2  7.111 0.214 -12.89  62.77  983.69  4.591  0.178    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1  3  4.176 0.822 -18.03  71.55  996.61  2.830  8.645    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1  4  0.533 0.997  -6.56  94.03  970.52  3.771 20.978    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1  5  6.953 0.530 -17.15  70.88  979.50  5.771  0.251    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1  6  5.157 0.736 -19.98  81.70  983.62  2.287  0.595    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1  7  4.899 0.728 -20.23  74.46  977.44  3.777  1.699    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1  8  6.089 0.759 -23.27  77.16  982.41  3.054  1.025    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1  9  5.644 0.752 -11.47  78.35  972.57  4.854  3.755    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1 10  6.915 0.672 -15.62  72.01  985.67  4.107  0.385    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1 11  5.431 0.767 -11.36  80.88  992.65  3.476  0.341    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1 12  3.400 0.754  -8.25  81.88  988.57  3.051  2.838    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1 13  8.065 0.008 -22.19  66.53 1002.43  2.560  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  1 14  8.150 0.005 -21.86  68.66  993.79  1.308  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
