year	month	day	airP_hPa	1.7m	4.0m	5.0m	6.0m	7.0m	8.0m	9.0m	10.0m	11.0m	12.0m
2015	5	14	982.218	14.4106	5.9115	5.1041	4.7628	4.561	4.4816	4.4512	4.462	4.5004	4.5852
2015	5	15	980.342	14.6532	5.7831	5.0807	4.7376	4.5488	4.478	4.4603	4.4694	4.5143	4.5337
2015	5	16	975.753	14.9717	5.8433	5.1114	4.7597	4.5597	4.4818	4.4726	4.4737	4.522	4.5352
2015	5	17	NA	15.1094	5.916	5.1398	4.7739	4.5716	4.4935	4.4648	4.4792	4.5229	4.537
2015	5	18	975.928	15.8134	6.068	5.2058	4.8123	4.5948	4.5166	4.487	4.4852	4.5269	4.5396
2015	5	19	965.909	16.5191	6.199	5.2679	4.8553	4.6338	4.5329	4.4956	4.4913	4.53	4.5424
2015	5	20	966.201	16.4812	6.3749	5.3096	4.8857	4.6598	4.5485	4.5078	4.502	4.5327	4.543
2015	5	21	966.943	16.373	6.4321	5.3712	4.9313	4.67	4.5666	4.5127	4.5067	4.5419	4.5466
2015	5	22	968.448	16.3324	6.517	5.4237	4.958	4.6992	4.5755	4.525	4.5134	4.5451	4.5501
2015	5	23	978.971	15.1491	6.6695	5.4821	5.0046	4.725	4.6086	4.5307	4.5194	4.5501	4.553
2015	5	24	975.237	15.0889	6.8071	5.5496	5.0436	4.7435	4.6016	4.5463	4.5253	4.554	4.5561
2015	5	25	976.038	15.7794	6.8368	5.5795	5.0723	4.7704	4.628	4.563	4.5356	4.5599	4.5597
2015	5	26	972.448	16.2103	6.9037	5.607	5.0718	4.778	4.6444	4.5696	4.5405	4.563	4.5636
2015	5	27	972.298	16.7078	7.0522	5.6722	5.0996	4.8006	4.6572	4.5813	4.5456	4.5664	4.5677
2015	5	28	973.76	16.9793	7.0889	5.6908	5.1093	4.8037	4.6648	4.5884	4.5512	4.5712	4.5717
2015	5	29	981.922	17.6876	7.195	5.7532	5.1487	4.826	4.6833	4.6019	4.5565	4.5753	4.5759
2015	5	30	972.207	18.7012	7.3245	5.8192	5.1849	4.8445	4.6984	4.5996	4.5653	4.5799	4.5807
2015	5	31	978.503	18.2126	7.4216	5.8435	5.2081	4.8725	4.7151	4.6127	4.5766	4.585	4.5845
2015	6	1	982.311	17.939	7.4975	5.8705	5.2296	4.892	4.7203	4.6252	4.5817	4.5908	4.5904
2015	6	2	980.461	17.2915	7.6042	5.911	5.2531	4.9092	4.7382	4.6305	4.5836	4.5972	4.5952
2015	6	3	981.071	16.7166	7.6884	5.967	5.2684	4.9101	4.7385	4.6323	4.5875	4.6017	4.6001
2015	6	4	979.934	17.1478	7.8276	6.0467	5.3206	4.945	4.7547	4.646	4.5962	4.606	4.6042
2015	6	5	973.651	17.7476	7.9674	6.1399	5.353	4.9765	4.7718	4.6748	4.6036	4.6108	4.6088
2015	6	6	975.692	17.3391	8.0974	6.153	5.3775	4.9921	4.7965	4.6722	4.6092	4.6155	4.614
2015	6	7	976.454	17.8652	8.2023	6.2278	5.3992	5.0067	4.8088	4.6827	4.6193	4.6214	4.62
2015	6	8	NA	17.8202	8.3654	6.2705	5.4455	5.0253	4.8266	4.695	4.6222	4.626	4.6247
2015	6	9	960.9	17.5884	8.5447	6.372	5.4846	5.0503	4.8536	4.7113	4.6281	4.629	4.6279
2015	6	10	963.719	17.9674	8.6539	6.4024	5.5058	5.0688	4.8587	4.7139	4.6356	4.6318	4.6311
2015	6	11	963.664	18.4786	8.863	6.4858	5.5576	5.1006	4.8864	4.7274	4.6433	4.6365	4.6366
2015	6	12	970.837	18.8821	8.9986	6.5684	5.5825	5.1129	4.8969	4.755	4.655	4.6434	4.6428
2015	6	13	971.372	18.9027	9.1488	6.6136	5.6093	5.1322	4.92	4.7631	4.659	4.6485	4.6481
